_time;dvc_name;src_ip;dest_ip;dest_port;application
2026-06-17T10:48:38.100+0000;IE1ENSFW01;10.145.0.107;10.246.240.61;58746;incomplete
2026-06-17T10:32:56.100+0000;IE1ENSFW01;10.145.0.107;10.246.247.126;54538;incomplete
2026-06-17T10:13:52.100+0000;IE1ENSFW01;10.145.0.107;10.246.247.59;33034;incomplete
2026-06-17T09:44:11.100+0000;IE1ENSFW01;10.145.0.107;10.246.241.210;60390;incomplete
2026-06-17T12:26:29.100+0000;IE1ENSFW01;10.204.249.228;10.175.218.214;10006;web-browsing
2026-06-17T11:12:50.100+0000;IE1ENSFW01;10.204.249.228;10.175.217.101;10012;web-browsing
2026-06-17T10:56:58.100+0000;IE1ENSFW01;10.204.249.228;10.175.217.36;10006;web-browsing
2026-06-17T10:50:32.100+0000;IE1ENSFW01;10.204.249.228;10.175.216.101;10014;web-browsing
2026-06-17T10:33:41.100+0000;IE1ENSFW01;10.204.249.228;10.175.217.82;10013;web-browsing
2026-06-17T10:27:00.100+0000;IE1ENSFW01;10.204.249.228;10.175.217.124;9580;web-browsing
2026-06-17T10:23:01.100+0000;IE1ENSFW01;10.204.249.228;10.175.217.149;10014;web-browsing
2026-06-17T10:18:02.100+0000;IE1ENSFW01;10.204.249.228;10.175.217.245;10008;web-browsing
2026-06-17T12:26:24.100+0000;IE1ENSFW01;10.204.249.219;10.175.218.214;10004;web-browsing
2026-06-17T11:16:36.100+0000;IE1ENSFW01;10.204.249.219;10.175.217.101;10012;web-browsing
2026-06-17T11:02:08.100+0000;IE1ENSFW01;10.204.249.219;10.175.216.101;10006;web-browsing
2026-06-17T10:59:17.100+0000;IE1ENSFW01;10.204.249.219;10.175.217.36;40081;web-browsing
2026-06-17T10:31:45.100+0000;IE1ENSFW01;10.204.249.219;10.175.217.82;10010;web-browsing
2026-06-17T10:29:10.100+0000;IE1ENSFW01;10.204.249.219;10.175.217.124;9580;web-browsing
2026-06-17T10:21:10.100+0000;IE1ENSFW01;10.204.249.219;10.175.217.149;40081;web-browsing
2026-06-17T10:15:40.100+0000;IE1ENSFW01;10.204.249.219;10.175.217.245;9580;web-browsing
2026-06-17T12:26:14.100+0000;IE1ENSFW01;10.118.73.235;10.175.61.230;9098;insufficient-data
2026-06-17T12:26:14.100+0000;IE1ENSFW01;10.118.73.235;10.175.59.225;9098;insufficient-data
2026-06-17T12:26:14.100+0000;IE1ENSFW01;10.118.73.235;10.175.52.146;9098;insufficient-data
2026-06-17T12:26:11.100+0000;IE1ENSFW01;10.204.249.210;10.175.218.214;10005;web-browsing
2026-06-17T11:16:42.100+0000;IE1ENSFW01;10.204.249.210;10.175.217.101;3000;web-browsing
2026-06-17T11:05:37.100+0000;IE1ENSFW01;10.204.249.210;10.175.216.101;10006;web-browsing
2026-06-17T10:31:16.100+0000;IE1ENSFW01;10.204.249.210;10.175.217.82;10014;web-browsing
2026-06-17T10:22:56.100+0000;IE1ENSFW01;10.204.249.210;10.175.217.149;3000;web-browsing
2026-06-17T10:20:01.100+0000;IE1ENSFW01;10.204.249.210;10.175.217.124;10000;web-browsing
2026-06-17T10:16:15.100+0000;IE1ENSFW01;10.204.249.210;10.175.217.245;10007;web-browsing
2026-06-17T12:26:00.100+0000;IE1ENSFW01;10.204.249.211;10.175.218.214;10013;web-browsing
2026-06-17T11:15:07.100+0000;IE1ENSFW01;10.204.249.211;10.175.217.101;10005;web-browsing
2026-06-17T11:01:35.100+0000;IE1ENSFW01;10.204.249.211;10.175.217.36;8830;web-browsing
